year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error
2025,36365,https://ijs.usfigureskating.org/leaderboard/results/2025/36365/index.asp,200,2025 Cape Cod Harvest Classic,10/25/2025,10/26/2025,"Orleans, MA",2026-05-11T16:39:40+00:00,
2025,36371,https://ijs.usfigureskating.org/leaderboard/results/2025/36371/index.asp,200,2025 Arizona State Championships,10/11/1925,10/12/1925,"Peoria, AZ",2026-05-11T16:39:41+00:00,
2025,36373,https://ijs.usfigureskating.org/leaderboard/results/2025/36373/index.asp,200,2025 LA Autumn Classic,10/03/2025,10/05/2025,"El Segundo, CA",2026-05-11T16:39:42+00:00,
2025,36375,https://ijs.usfigureskating.org/leaderboard/results/2025/36375/index.asp,200,2025 WisconSync! Synchronized Competition,10/17/2025,10/19/2025,"Sun Prairie, WI",2026-05-11T16:39:43+00:00,
2025,36377,https://ijs.usfigureskating.org/leaderboard/results/2025/36377/index.asp,200,2025 Madison Open,09/26/1925,09/27/1925,"Madison, WI",2026-05-11T16:39:43+00:00,
2025,36379,https://ijs.usfigureskating.org/leaderboard/results/2025/36379/index.asp,200,2025 Boston Synchronized Skating Classic,11/21/2025,11/23/2025,"Norwood, MA",2026-05-11T16:39:44+00:00,
2025,36381,https://ijs.usfigureskating.org/leaderboard/results/2025/36381/index.asp,200,2025 Austin Fall Festival,09/27/2025,09/27/2025,"Cedar Park, TX",2026-05-11T16:39:44+00:00,
2025,36385,https://ijs.usfigureskating.org/leaderboard/results/2025/36385/index.asp,200,60th Annual Arrowhead Open Championships,10/26/2025,10/26/2025,"Ontario, CA",2026-05-11T16:39:45+00:00,
2025,36389,https://ijs.usfigureskating.org/leaderboard/results/2025/36389/index.asp,200,Skating Spooktacular 2025,10/25/2025,10/26/2025,"North Canton, OH",2026-05-11T16:39:46+00:00,
2025,36390,https://ijs.usfigureskating.org/leaderboard/results/2025/36390/index.asp,200,2025 Skate by the Lake,10/16/2025,10/19/2025,"McCall, ID",2026-05-11T16:39:46+00:00,
2025,36392,https://ijs.usfigureskating.org/leaderboard/results/2025/36392/index.asp,200,2025 Shores Autumn Classic,10/24/2025,10/25/2025,"St Clr Shores, MI",2026-05-11T16:39:47+00:00,
2025,36396,https://ijs.usfigureskating.org/leaderboard/results/2025/36396/index.asp,200,2025 LA Autumn Classic (SYNCHRO ONLY),10/03/2025,10/05/2025,"El Segundo, CA",2026-05-11T16:39:48+00:00,
2025,36397,https://ijs.usfigureskating.org/leaderboard/results/2025/36397/index.asp,200,2025 LeeAnn Miele Synchronized Skating Open,11/09/2025,11/09/2025,"Providence, RI",2026-05-11T16:39:48+00:00,
2025,36398,https://ijs.usfigureskating.org/leaderboard/results/2025/36398/index.asp,200,2025 Diamond Classic Synchronized Skating Competit,11/08/2025,11/08/2025,"Mentor, OH",2026-05-11T16:39:48+00:00,
